Ordo	Date	Rank	Color	Description
gen	0926	opt		Cosmas and Damian, Mm
gen	0927	mem	White	Vincent de Paul, P
gen	0928	opt		Wenceslaus, M; Lawrence Ruiz and companions, Mm
gen	0929	fst	White	Michael, Gabriel, and Raphael, Archangels
gen	0930	mem	White	Jerome, P & D
gen	1001	mem	White	Theresa of the Child Jesus, V
gen	1002	mem	White	Guardian Angels
gen	1004	mem	White	Francis of Assisi, Rel
gen	1006	opt		Bruno, P; Bl. Marie Rose Durocher, V
gen	1007	mem	White	Our Lady of the Rosary
gen	1009	opt		Denis, B & M, and companions, Mm; John Leonardi, P
gen	1014	opt		Callistus I, Po & M
gen	1015	mem	White	Teresa of Avila, V & D
gen	1016	opt		Hedwig, Rel; Margaret Mary Alacoque, V
gen	1017	mem	Red	Ignatius of Antioch, B & M
gen	1018	fst	Red	Luke, Evangelist
usa	1019	mem	Red	Isaac Jogues and John de Brebeuf, P & Mm, and companions, Mm
usa	1020	opt		Paul of the Cross, P
gen	1023	opt		John of Capistrano, P
gen	1024	opt		Anthony Claret, B
gen	1028	fst	red	Simon and Jude, Ap
gen	1101	sol	White	ALL SAINTS
gen	1102	fst	White	ALL SOULS
gen	1103	opt		Martin de Porres, Rel
gen	1104	mem	White	Charles Borromeo, B
gen	1109	fst	White	Dedication of St. John Lateran
gen	1110	mem	White	Leo the Great, Po & D
gen	1111	mem	White	Martin of Tours, B
gen	1112	mem	Red	Josaphat, B & M
usa	1113	mem	White	Frances Xavier Cabrini, V
gen	1115	opt		Albert the Great, B & D
gen	1116	opt		Margaret of Scotland; Gertrude, V
gen	1117	mem	White	Elizabeth of Hungary, Rel
gen	1118	opt		Dedication of Churches of Peter & Paul; Rose Philippine Duchesne, V
gen	1121	mem	White	Presentation of Mary
gen	1122	mem	Red	Cecilia, V & M
gen	1123	opt		Clement I, Po & M; Columban, Ab; Bl. Miguel Pro, P & M
gen	1124	mem	Red	Andrew Dung-Lac, P & M, and companions, Mm
gen	1130	fst	Red	Andrew, Ap
gen	1203	mem	White	Frances Xavier, P
gen	1204	opt		John Damascene, P & D
gen	1206	opt		Nicholas, B
gen	1207	mem	White	Ambrose, B & D
gen	1208	sol	White	IMMACULATE CONCEPTION
gen	1209	opt		Bl. Juan Diego
gen	1211	opt		Damasus I, Po
usa	1212	fst	White	Our Lady of Guadalupe, BVM
gen	1213	mem	Red	Lucy, V & M
gen	1214	mem	White	John of the Cross, P & D
gen	1221	com		Peter Canisius, P & D
gen	1223	com		John of Kanty
gen	1226	fst	Red	Stephen, M
gen	1227	fst	White	John, Ap and Evangelist
gen	1228	fst	Red	Holy Innocents, Mm
gen	1229	opt	White	Thomas Becket, B & M
gen	1231	opt	White	Sylvester I, Po
