Date,Season,Rank,Color,Description,
0723,OrdinaryTime,Opt. Mem.,Green,"Bridget, Rel",
0724,OrdinaryTime,Opt. Mem.,Green,"Sharbel Makhluf, P",
0725,OrdinaryTime,Feast,Red,"James, Ap",
0726,OrdinaryTime,Memorial,White,"Joachim and Ann, Parents of Mary",
0729,OrdinaryTime,Memorial,White,"Martha, Hw",
0730,OrdinaryTime,Opt. Mem.,Green,"Peter Chrysologus, B & D",
0731,OrdinaryTime,Memorial,White,"Ignatius of Loyola, P",
0801,OrdinaryTime,Memorial,White,"Alphonsus Liguori, B & D",
0802,OrdinaryTime,Opt. Mem.,Green,"Eusebius of Vercelli, B; Peter Julian Eymard, P",
0804,OrdinaryTime,Memorial,White,"John Vianney, P",
0805,OrdinaryTime,Opt. Mem.,Green,Dedication of St. Mary Major,
0806,OrdinaryTime,Feast,White,Transfiguration,
0807,OrdinaryTime,Opt. Mem.,Green,"Sixtus II, Po & M, and companions, Mm; Cajetan, P",
0808,OrdinaryTime,Memorial,White,"Dominic, P",
0809,OrdinaryTime,Opt. Mem.,Green,"Teresiae Benedicta of the Cross, V & M",
0810,OrdinaryTime,Feast,Red,"Lawrence, De & M",
0811,OrdinaryTime,Memorial,White,"Clare, V",
0813,OrdinaryTime,Opt. Mem.,Green,"Pontian, Po & M and Hippolytus, P & M",
0814,OrdinaryTime,Memorial,Red,"Maximilian Kolbe, P & M",
0816,OrdinaryTime,Opt. Mem.,Green,Stephen of Hungary,
0818,OrdinaryTime,Opt. Mem.,Green,"Jane Frances de Chantal, Rel",
0819,OrdinaryTime,Opt. Mem.,Green,"John Eudes, P",
0820,OrdinaryTime,Memorial,White,"Bernard, Ab & D",
0821,OrdinaryTime,Memorial,White,"Pius X, Po",
0822,OrdinaryTime,Memorial,White,Queenship of Mary,
0823,OrdinaryTime,Opt. Mem.,Green,"Rose of Lima, V",
0824,OrdinaryTime,Feast,Red,"Bartholomew, Ap",
0825,OrdinaryTime,Opt. Mem.,Green,"Louis of France; Joseph Calasanz, P",
0827,OrdinaryTime,Memorial,White,Monica,
0828,OrdinaryTime,Memorial,White,"Augustine, B & D",
0829,OrdinaryTime,Memorial,Red,"Beheading of John the Baptist, M",
0903,OrdinaryTime,Memorial,White,"Gregory the Great, Po & D",
0908,OrdinaryTime,Feast,White,Birth of Mary,
0909,OrdinaryTime,Memorial,White,"Peter Claver, P",
0912,OrdinaryTime,Opt. Mem.,Green,The Most Name of the Blessed Virgin Mary,
0913,OrdinaryTime,Memorial,White,"John Chrysostom, B & D",
0914,OrdinaryTime,Feast,Red,Triumph of the Cross,
0915,OrdinaryTime,Memorial,White,Our Lady of Sorrows,
0916,OrdinaryTime,Memorial,Red,"Cornelius, Po & M, and Cyprian, B & M ",
0917,OrdinaryTime,Opt. Mem.,Green,"Robert Bellarmine, B & D",
0919,OrdinaryTime,Opt. Mem.,Green,"Janurius, B & M",
0920,OrdinaryTime,Memorial,Red,"Andrew Kim Taegon, P & M, Paul Chong Hasang, M, & companions, Mm",
0921,OrdinaryTime,Feast,Red,"Matthew, Ap & Evangelist",
0926,OrdinaryTime,Opt. Mem.,Green,"Cosmas and Damian, Mm",
0927,OrdinaryTime,Memorial,White,"Vincent de Paul, P",
0928,OrdinaryTime,Opt. Mem.,Green,"Wenceslaus, M; Lawrence Ruiz and companions, Mm",
0929,OrdinaryTime,Feast,White,"Michael, Gabriel, and Raphael, Archangels",
0930,OrdinaryTime,Memorial,White,"Jerome, P & D",
1001,OrdinaryTime,Memorial,White,"Theresa of the Child Jesus, V",
1002,OrdinaryTime,Memorial,White,Guardian Angels,
1004,OrdinaryTime,Memorial,White,"Francis of Assisi, Rel",
1006,OrdinaryTime,Opt. Mem.,Green,"Bruno, P; Bl. Marie Rose Durocher, V",
1007,OrdinaryTime,Memorial,White,Our Lady of the Rosary,
1009,OrdinaryTime,Opt. Mem.,Green,"Denis, B & M, and companions, Mm; John Leonardi, P",
1014,OrdinaryTime,Opt. Mem.,Green,"Callistus I, Po & M",
1015,OrdinaryTime,Memorial,White,"Teresa of Avila, V & D",
1016,OrdinaryTime,Opt. Mem.,Green,"Hedwig, Rel; Margaret Mary Alacoque, V",
1017,OrdinaryTime,Memorial,Red,"Ignatius of Antioch, B & M",
1018,OrdinaryTime,Feast,Red,"Luke, Evangelist",
1019,OrdinaryTime,Memorial,Red,"Isaac Jogues and John de Brebeuf, P & Mm, and companions, Mm",
1020,OrdinaryTime,Opt. Mem.,Green,"Paul of the Cross, P",
1023,OrdinaryTime,Opt. Mem.,Green,"John of Capistrano, P",
1024,OrdinaryTime,Opt. Mem.,Green,"Anthony Claret, B",
1028,OrdinaryTime,red,Feast,"Simon and Jude, Ap",
1102,OrdinaryTime,Feast,White,All Souls,
1103,OrdinaryTime,Opt. Mem.,Green,"Martin de Porres, Rel",
1104,OrdinaryTime,Memorial,White,"Charles Borromeo, B",
1109,OrdinaryTime,Feast,White,Dedication of St. John Lateran,
1110,OrdinaryTime,Memorial,White,"Leo the Great, Po & D",
1111,OrdinaryTime,Memorial,White,"Martin of Tours, B",
1112,OrdinaryTime,Memorial,Red,"Josaphat, B & M",
1113,OrdinaryTime,Memorial,White,"Frances Xavier Cabrini, V",
1115,OrdinaryTime,Opt. Mem.,Green,"Albert the Great, B & D",
1116,OrdinaryTime,Opt. Mem.,Green,"Margaret of Scotland; Gertrude, V",
