Ordo,Date,Rank,Color,Description
gen,102,mem,White,"Basil the Great and Gregory Nazianzen, Bb & Dd"
gen,103,opt,White,The Most Holy Name of Jesus
us,104,mem,White,Elizabeth Ann Seton
us,105,mem,White,"John Neumann, B"
gen,106,opt,White,"Bl. Andre Bessette, Rel"
gen,107,opt,White,"Raymond of Penyafort, P"
gen,109,fst,White,Baptism of the Lord
gen,2013,opt,Green,"Hilary, B & D"
gen,2017,mem,White,"Anthony, Ab"
gen,120,opt,Green,"Fabian, Po & M; Sebastian, M"
gen,121,mem,Red,"Agnes, V & M"
us,122,opt,Green,"Vincent, De & M"
gen,124,mem,White,"Francis de Sales, B & D"
gen,125,fst,White,"Conversion of St. Paul, Ap"
gen,126,mem,White,"Timothy and Titus, Bb"
gen,127,opt,Green,"Angela Merici, V"
gen,128,mem,White,"Thomas Aquinas, P & D"
gen,131,mem,White,"John Bosco, P"
gen,202,fst,White,Presentation of the Lord
gen,203,opt,Green,"Blase, B & M; Ansgar, B"
gen,205,mem,Red,"Agatha, V & M"
gen,206,mem,Red,"Paul Miki and companions, Mm"
gen,208,opt,Green,"Jerome Emiliani; Josephine Bakhita, V"
gen,210,mem,White,"Scholastica, V"
gen,211,opt,Green,Our Lady of Lourdes
gen,214,mem,White,"Cyril, monk, and Methodius, B"
gen,217,opt,Green,Seven Founders of the Order of Servites
gen,221,opt,Green,"Peter Damian, B & D"
gen,222,fst,White,"Chair of Peter, Ap"
gen,223,com,,"Polycarp, B & M"
us,303,com,,"Katharine Drexel, V"
gen,304,opt,Green,Casimir
gen,307,com,,"Perpetua and Felicity, Mm"
gen,308,com,,"John of God, Rel"
gen,309,com,,"Frances of Rome, Rel"
gen,317,com,,"Patrick, B"
gen,318,com,,"Cyril of Jerusalem, B & D"
gen,323,com,,"Turibius de Mogrovejo, B"
gen,402,com,,"Francis of Paola, hermit"
gen,404,com,,"Isidore, B & D"
gen,405,com,,"Vincent Ferrer, P"
gen,407,com,,"John Baptist de la Salle, P"
gen,411,com,,"Stanislaus, B & M"
gen,413,com,,"Martin I, Po & M"
gen,415,com,,"Bl. Damien Joseph de Veuster, P"
gen,421,opt,White,"Anselm, B & D"
gen,423,opt,White,"George, M; Adalbert, B & M"
gen,424,opt,White,"Fidelis of Sigmaringen, P & M"
gen,425,fst,Red,"Mark, Evangelist"
gen,428,opt,White,"Peter Chanel, P & M; Louis Mary de Montfort, P"
gen,419,mem,White,"Catherine of Siena, V & D"
gen,430,opt,White,"Pius V, Po"
gen,501,opt,White,Joseph the Worker
gen,502,mem,White,"Athanasius, B & D"
gen,503,fst,Red,"Philip & James, Ap"
gen,512,opt,White,"Nereus and Achilleus, Mm; Pancras, M"
gen,514,fst,Red,"Matthias, Ap"
us,515,opt,White,"Isidore, Farmer"
gen,518,opt,White,"John I, Po & M"
gen,520,opt,White,"Bernardine of Siena, P"
gen,521,opt,White,"Christopher Magallanes, P & M, and companions, Mm"
gen,522,opt,White,"Rita of Casica, Rel"
gen,525,opt,White,"Venerable Bede, P & D; Gregory VII, Po; Mary Magdalene de Pazzi, V"
gen,526,mem,White,"Philip Neri, P"
gen,527,opt,White,Augustine of Canterbury
gen,531,fst,White,Visitation
gen,601,mem,Red,"Justin, M"
gen,602,opt,Green,"Marcellinus and Peter, Mm"
gen,603,mem,Red,"Charles Lwanga and companions, Mm"
gen,605,mem,Red,"Boniface, B & M"
gen,606,opt,Green,"Norbert, B"
gen,609,opt,Green,"Ephrem, De & D"
gen,611,mem,Red,"Barnabas, Ap"
gen,613,mem,White,"Anthony of Padua, P & D"
gen,619,opt,Green,"Romuald, Ab"
gen,621,mem,White,"Aloysius Gonzaga, Rel"
gen,622,opt,Green,"Paulinus of Nola, B; John Fisher, B & M and Thomas More, M"
gen,627,opt,Green,"Cyril of Alexandria, B & D"
gen,628,mem,Red,"Irenaeus, B & M"
gen,630,opt,Green,First Martyrs of the Church of Rome
gen,703,fst,Red,"Thomas, Ap"
us,704,opt,Green,Elizabeth of Portugal
gen,705,opt,Green,"Anthony Zaccaria, P"
gen,706,opt,Green,"Maria Goretti, V & M"
gen,709,opt,Green,"Augustine Zhao Rong, P & M, and companions, Mm"
gen,711,mem,White,"Benedict, Ab"
gen,713,opt,Green,Henry
us,714,mem,White,"Kateri Tekakwitha, V"
gen,715,mem,White,"Bonaventure, B & D"
gen,716,opt,Green,Our Lady of Mount Carmel
gen,720,opt,Green,"Apollinarus, B & M"
gen,721,opt,Green,"Lawrence of Brindisi, P & D"
gen,722,mem,White,"Mary Magdalene, Hw"
gen,723,opt,Green,"Bridget, Rel"
gen,724,opt,Green,"Sharbel Makhluf, P"
gen,725,fst,Red,"James, Ap"
gen,726,mem,White,"Joachim and Ann, Parents of Mary"
gen,729,mem,White,"Martha, Hw"
gen,730,opt,Green,"Peter Chrysologus, B & D"
gen,731,mem,White,"Ignatius of Loyola, P"
gen,801,mem,White,"Alphonsus Liguori, B & D"
gen,802,opt,Green,"Eusebius of Vercelli, B; Peter Julian Eymard, P"
gen,804,mem,White,"John Vianney, P"
gen,805,opt,Green,Dedication of St. Mary Major
gen,806,fst,White,Transfiguration
gen,807,opt,Green,"Sixtus II, Po & M, and companions, Mm; Cajetan, P"
gen,808,mem,White,"Dominic, P"
gen,809,opt,Green,"Teresiae Benedicta of the Cross, V & M"
gen,810,fst,Red,"Lawrence, De & M"
gen,811,mem,White,"Clare, V"
gen,813,opt,Green,"Pontian, Po & M and Hippolytus, P & M"
gen,814,mem,Red,"Maximilian Kolbe, P & M"
gen,816,opt,Green,Stephen of Hungary
gen,818,opt,Green,"Jane Frances de Chantal, Rel"
gen,819,opt,Green,"John Eudes, P"
gen,820,mem,White,"Bernard, Ab & D"
gen,821,mem,White,"Pius X, Po"
gen,822,mem,White,Queenship of Mary
gen,823,opt,Green,"Rose of Lima, V"
gen,824,fst,Red,"Bartholomew, Ap"
gen,825,opt,Green,"Louis of France; Joseph Calasanz, P"
gen,827,mem,White,Monica
gen,828,mem,White,"Augustine, B & D"
gen,829,mem,Red,"Beheading of John the Baptist, M"
gen,903,mem,White,"Gregory the Great, Po & D"
gen,908,fst,White,Birth of Mary
us,909,mem,White,"Peter Claver, P"
gen,912,opt,Green,The Most Name of the Blessed Virgin Mary
gen,913,mem,White,"John Chrysostom, B & D"
gen,914,fst,Red,Triumph of the Cross
gen,915,mem,White,Our Lady of Sorrows
gen,916,mem,Red,"Cornelius, Po & M, and Cyprian, B & M "
gen,917,opt,Green,"Robert Bellarmine, B & D"
gen,919,opt,Green,"Janurius, B & M"
gen,920,mem,Red,"Andrew Kim Taegon, P & M, Paul Chong Hasang, M, & companions, Mm"
gen,921,fst,Red,"Matthew, Ap & Evangelist"
gen,926,opt,Green,"Cosmas and Damian, Mm"
gen,927,mem,White,"Vincent de Paul, P"
gen,928,opt,Green,"Wenceslaus, M; Lawrence Ruiz and companions, Mm"
gen,929,fst,White,"Michael, Gabriel, and Raphael, Archangels"
gen,930,mem,White,"Jerome, P & D"
gen,1001,mem,White,"Theresa of the Child Jesus, V"
gen,1002,mem,White,Guardian Angels
gen,1004,mem,White,"Francis of Assisi, Rel"
gen,1006,opt,Green,"Bruno, P; Bl. Marie Rose Durocher, V"
gen,1007,mem,White,Our Lady of the Rosary
gen,1009,opt,Green,"Denis, B & M, and companions, Mm; John Leonardi, P"
gen,1014,opt,Green,"Callistus I, Po & M"
gen,1015,mem,White,"Teresa of Avila, V & D"
gen,1016,opt,Green,"Hedwig, Rel; Margaret Mary Alacoque, V"
gen,1017,mem,Red,"Ignatius of Antioch, B & M"
gen,1018,fst,Red,"Luke, Evangelist"
us,1019,mem,Red,"Isaac Jogues and John de Brebeuf, P & Mm, and companions, Mm"
us,1020,opt,Green,"Paul of the Cross, P"
