Date,Rank,Color,Description
0928,opt,Green,"Wenceslaus, M; Lawrence Ruiz and companions, Mm"
0929,fst,White,"Michael, Gabriel, and Raphael, Archangels"
0930,mem,White,"Jerome, P & D"
1001,mem,White,"Theresa of the Child Jesus, V"
1002,mem,White,Guardian Angels
1004,mem,White,"Francis of Assisi, Rel"
1006,opt,Green,"Bruno, P; Bl. Marie Rose Durocher, V"
1007,mem,White,Our Lady of the Rosary
1009,opt,Green,"Denis, B & M, and companions, Mm; John Leonardi, P"
1014,opt,Green,"Callistus I, Po & M"
1015,mem,White,"Teresa of Avila, V & D"
1016,opt,Green,"Hedwig, Rel; Margaret Mary Alacoque, V"
1017,mem,Red,"Ignatius of Antioch, B & M"
1018,fst,Red,"Luke, Evangelist"
1019,mem,Red,"Isaac Jogues and John de Brebeuf, P & Mm, and companions, Mm"
1020,opt,Green,"Paul of the Cross, P"
1023,opt,Green,"John of Capistrano, P"
1024,opt,Green,"Anthony Claret, B"
1028,red,fst,"Simon and Jude, Ap"
1102,fst,White,All Souls
1103,opt,Green,"Martin de Porres, Rel"
1104,mem,White,"Charles Borromeo, B"
1109,fst,White,Dedication of St. John Lateran
1110,mem,White,"Leo the Great, Po & D"
1111,mem,White,"Martin of Tours, B"
1112,mem,Red,"Josaphat, B & M"
1113,mem,White,"Frances Xavier Cabrini, V"
1115,opt,Green,"Albert the Great, B & D"
1116,opt,Green,"Margaret of Scotland; Gertrude, V"
1117,mem,White,"Elizabeth of Hungary, Rel"
1118,opt,Green,"Dedication of Churches of Peter & Paul; Rose Philippine Duchesne, V"
1121,mem,White,Presentation of Mary
1122,mem,Red,"Cecilia, V & M"
1123,opt,Green,"Clement I, Po & M; Columban, Ab; Bl. Miguel Pro, P & M"
1124,mem,Red,"Andrew Dung-Lac, P & M, and companions, Mm"
1130,fst,Red,"Andrew, Ap"
1203,mem,White,"Frances Xavier, P"
1204,opt,Purple,"John Damascene, P & D"
1206,opt,Purple,"Nicholas, B"
1207,mem,White,"Ambrose, B & D"
1209,opt,Purple,Bl. Juan Diego
1211,opt,Purple,"Damasus I, Po"
1212,fst,White,Our Lady of Guadalupe
1213,mem,Red,"Lucy, V & M"
1214,mem,White,"John of the Cross, P & D"
1221,opt,Purple,"Peter Canisius, P & D"
1223,opt,Purple,John of Kanty
1226,fst,Red,"Stephen, M"
1227,fst,White,"John, Ap and Evangelist"
1228,fst,Red,"Holy Innocents, Mm"
1229,opt,White,"Thomas Becket, B & M"
1231,opt,White,"Sylvester I, Po"
